NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: SALEM, SALEM HARBOR 
State: MA 
Stationid: 8442645
Prediction Type: Harmonic
From: 20220101 03:01 - 20221231 18:18
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2022/01/01	Sat	03:01 AM	0.22		7			L
2022/01/01	Sat	09:22 AM	11.02		336			H
2022/01/01	Sat	03:50 PM	-1.20		-37			L
2022/01/01	Sat	10:04 PM	9.19		280			H
2022/01/02	Sun	03:57 AM	0.01		0			L
2022/01/02	Sun	10:17 AM	11.34		346			H
2022/01/02	Sun	04:44 PM	-1.50		-46			L
2022/01/02	Sun	10:59 PM	9.40		287			H
2022/01/03	Mon	04:51 AM	-0.16		-5			L
2022/01/03	Mon	11:11 AM	11.48		350			H
2022/01/03	Mon	05:37 PM	-1.62		-49			L
2022/01/03	Mon	11:53 PM	9.55		291			H
2022/01/04	Tue	05:45 AM	-0.23		-7			L
2022/01/04	Tue	12:04 PM	11.43		348			H
2022/01/04	Tue	06:29 PM	-1.56		-48			L
2022/01/05	Wed	12:45 AM	9.61		293			H
2022/01/05	Wed	06:39 AM	-0.18		-5			L
2022/01/05	Wed	12:58 PM	11.16		340			H
2022/01/05	Wed	07:21 PM	-1.33		-41			L
2022/01/06	Thu	01:38 AM	9.61		293			H
2022/01/06	Thu	07:34 AM	-0.03		-1			L
2022/01/06	Thu	01:52 PM	10.71		326			H
2022/01/06	Thu	08:13 PM	-0.97		-30			L
2022/01/07	Fri	02:32 AM	9.54		291			H
2022/01/07	Fri	08:30 AM	0.21		6			L
2022/01/07	Fri	02:46 PM	10.13		309			H
2022/01/07	Fri	09:04 PM	-0.52		-16			L
2022/01/08	Sat	03:25 AM	9.42		287			H
2022/01/08	Sat	09:27 AM	0.49		15			L
2022/01/08	Sat	03:42 PM	9.48		289			H
2022/01/08	Sat	09:56 PM	-0.00		0			L
2022/01/09	Sun	04:20 AM	9.28		283			H
2022/01/09	Sun	10:26 AM	0.75		23			L
2022/01/09	Sun	04:41 PM	8.86		270			H
2022/01/09	Sun	10:49 PM	0.52		16			L
2022/01/10	Mon	05:15 AM	9.14		279			H
2022/01/10	Mon	11:26 AM	0.95		29			L
2022/01/10	Mon	05:41 PM	8.34		254			H
2022/01/10	Mon	11:43 PM	0.99		30			L
2022/01/11	Tue	06:11 AM	9.03		275			H
2022/01/11	Tue	12:26 PM	1.05		32			L
2022/01/11	Tue	06:42 PM	7.97		243			H
2022/01/12	Wed	12:37 AM	1.37		42			L
2022/01/12	Wed	07:05 AM	8.97		273			H
2022/01/12	Wed	01:24 PM	1.06		32			L
2022/01/12	Wed	07:40 PM	7.75		236			H
